Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Geovanna M. S. M. E. Leite,Feminino,5,0.00446,0.0,0.009759
Gabriel V. S. Soares,Masculino,5,0.00446,0.0,0.009759
Edson J. S. C. Filho,Masculino,5,0.00446,0.0,0.009759
Raissa K. M. Serrao,Feminino,5,0.00446,0.0,0.00446
Neidiane A. Soares,Feminino,5,0.00446,0.0,0.00446
Eliene S. Santos,Feminino,5,0.00446,0.0,0.00446
Flavia P. Monteiro,Feminino,5,0.00446,0.0,0.00446
Carlos S. S. Souza,Masculino,5,0.00446,0.0,0.00446
Caroline C. Silva,Feminino,5,0.00446,0.0,0.00446
Iona Barbosa,Feminino,5,0.00446,0.0,0.004588
Gilmar Britto,Masculino,5,0.00446,0.0,0.004588
Rodrigo R. Oliveira,Masculino,5,0.00446,1.3e-05,0.00446
Alice A. F. Menezes,Feminino,5,0.00446,0.0,0.005947
Andre L. Schwerz,Masculino,5,0.00446,0.0,0.103204
Rafael Liberato,Masculino,5,0.00446,0.0,0.103204
Joao E. Ferreira,Masculino,5,0.00446,0.0,0.103204
Andreia Pereira,Feminino,5,0.00446,0.0,0.103417
Viviane David,Feminino,5,0.00446,0.0,0.103417
Monica D. Correa-Silva,Feminino,5,0.00446,1e-06,0.004857
Mirella E. B. Santana,Feminino,5,0.00446,0.0,0.008945
Arthur G. S. Luz,Masculino,5,0.00446,0.0,0.008945
Crystian P. Silva,Masculino,5,0.00446,0.0,0.008945
Maria L. M. E. Lima,Feminino,5,0.00446,0.0,0.008945
Diego Silveira,Masculino,5,0.00446,0.0,0.014115
Thalisson Oliveira,Masculino,5,0.00446,0.0,0.014115
Leonardo Bombonato,Masculino,5,0.00446,0.0,0.014115
Reinaldo Fortes,Masculino,5,0.00446,0.0,0.014115
Alvaro P. Jr.,Masculino,5,0.00446,0.0,0.014115
Matheus Dore,Masculino,5,0.00446,0.0,0.00446
Samuel Braz,Masculino,5,0.00446,0.0,0.00446
Camila Campos,Feminino,5,0.00446,0.0,0.00446
Fabio Freire,Masculino,5,0.00446,0.0,0.085231
Lillian Rosemback,Feminino,5,0.00446,0.0,0.077651
Carlos M. S. Figueiredo,Masculino,5,0.00446,0.0,0.005947
Fabricia D. Zucco,Feminino,5,0.00446,0.0,0.015005
Nelson Hein,Masculino,5,0.00446,0.0,0.015005
Karina Z. Cunha,Feminino,5,0.00446,0.0,0.015005
Gabriel C. Oliveira,Masculino,5,0.00446,0.0,0.015005
Adriano Fialho,Masculino,5,0.00446,0.0,0.091253
Victor Martinez,Masculino,5,0.00446,0.0,0.091253
Jailson Brito,Masculino,5,0.00446,0.0,0.091253
Lincoln Brito,Masculino,5,0.00446,0.0,0.091253
Adolfo Duran,Masculino,5,0.00446,0.0,0.091253
Dulcineia E. Santos,Feminino,5,0.00446,3e-06,0.00446
Franklin S. Oliveira,Masculino,5,0.00446,3e-06,0.00446
Romero B. Assis,Masculino,5,0.00446,0.0,0.008945
Carla M. Silva,Feminino,5,0.00446,0.0,0.008945
Carlos A. L. Barros,Masculino,5,0.00446,0.0,0.008945
Caroline M. Nascimento,Feminino,5,0.00446,0.0,0.008945
Cristiano Maciel,Masculino,5,0.00446,0.008059,0.106812
Elisa H. M. Huzita,Feminino,5,0.00446,0.001682,0.095934
Bruno A. Souza,Masculino,5,0.00446,1e-06,0.005947
Fabiola G. Nakamura,Feminino,5,0.00446,1e-06,0.005947
Lenita M. Ambrosio,Feminino,5,0.00446,0.0,0.089943
Philipe Marques,Masculino,5,0.00446,0.0,0.089943
Ademir R. Freddo,Masculino,5,0.00446,0.0,0.005947
Gilson Y. Sato,Masculino,5,0.00446,0.0,0.005947
Emerson C. Paraiso,Masculino,5,0.00446,0.0,0.005947
Bruno Campagnolo,Masculino,5,0.00446,0.0,0.005947
Milton P. Ramos,Masculino,5,0.00446,0.0,0.005947
Kayque W. R. Oliveira,Masculino,5,0.00446,0.0,0.075114
Gustavo E. R. G. Alves,Masculino,5,0.00446,0.0,0.075114
Pedro T. M. Pedrosa,Masculino,5,0.00446,0.0,0.075114
Mauro S. R. Souza,Masculino,5,0.00446,0.0,0.075114
Fabiana Barros,Feminino,5,0.00446,0.0,0.075114
Tadeu Classe,Masculino,5,0.00446,0.0,0.00446
Gildo Leonel,Masculino,5,0.00446,0.0,0.00446
Iran R. Costa,Masculino,5,0.00446,0.0,0.00446
Marcio G. Arakaki,Masculino,5,0.00446,0.0,0.089846
Guilherme G. Martins,Masculino,5,0.00446,0.0,0.089846
Bernardo B. Gatto,Masculino,5,0.00446,0.0,0.005947
Eulanda M. Santos,Feminino,5,0.00446,0.0,0.005947
Simone E. Costa,Feminino,5,0.00446,1e-05,0.020882
Daniele Sucena,Feminino,5,0.00446,0.0,0.077651
Luciane C. J. Deus,Feminino,5,0.00446,0.001367,0.11
Carlos E. Mello,Masculino,5,0.00446,0.001024,0.094809
Rafael Ferreira,Masculino,5,0.00446,0.0,0.00446
Jean Melo,Masculino,5,0.00446,0.0,0.00446
Patrick Brito,Masculino,5,0.00446,0.0,0.00446
Evandro Costa,Masculino,5,0.00446,0.0,0.00446
Rinaldo Lima,Masculino,5,0.00446,0.0,0.00446
Fred Freitas,Masculino,5,0.00446,0.0,0.00446
Tanara Lauschner,Feminino,5,0.00446,0.0,0.094917
Amanda Klein,Feminino,5,0.00446,0.0,0.075114
Huandy C. Camargo,Masculino,5,0.00446,0.0,0.075114
Gabriel C. Fornitano,Masculino,5,0.00446,0.0,0.075114
Rafael M. D. Frinhani,Masculino,5,0.00446,0.0,0.075114
Isa B. Neves,Feminino,5,0.00446,0.0,0.09877
Marcos Barreto,Masculino,5,0.00446,0.0,0.09877
Rodrigo Meliande,Masculino,5,0.00446,0.0,0.09877
Maria T. S. Santos,Feminino,5,0.00446,3e-06,0.015468
Raissa Barcellos,Feminino,5,0.00446,0.0,0.004857
Flavia Bernardini,Feminino,5,0.00446,0.0,0.004857
Clodis Boscarioli,Feminino,5,0.00446,0.0,0.004857
Eunice Nunes,Feminino,5,0.00446,0.0,0.004857
Beatriz S. Racca,Feminino,5,0.00446,1.2e-05,0.102613
Emanuel A. Rodrigues,Masculino,5,0.00446,0.002518,0.061028
Heloisa Moura,Feminino,5,0.00446,0.0,0.114368
Marcos Barbato,Masculino,5,0.00446,0.0,0.114368
Joao P. B. Gloria,Masculino,5,0.00446,0.0,0.106903
Claudio Barizon,Masculino,5,0.00446,0.0,0.106903
Rafael M. Mello,Masculino,5,0.00446,0.0,0.106903
Alberto B. Raposo,Masculino,5,0.00446,0.00336,0.081889
Deivid F. Sartori,Masculino,5,0.00446,3e-05,0.021981
